PA_PROC_ID,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
301010072,145,2027,2,109167850.0,98741380.0,116660150.0
301010072,146,2027,3,110540980.0,100527600.0,117304600.0
301010072,147,2027,4,111565990.0,101937850.0,117593100.0
301010072,148,2027,5,112308660.0,102985620.0,117697170.0
301010072,149,2027,6,112850990.0,103762420.0,117733496.0
301010072,150,2027,7,113274720.0,104386100.0,117777064.0
301010072,151,2027,8,113635760.0,104934430.0,117863890.0
301010072,152,2027,9,113929520.0,105416390.0,117967180.0
301010072,153,2027,10,114135370.0,105782000.0,118029230.0
301010072,154,2027,11,114260536.0,106022130.0,118022430.0
301010072,155,2027,12,114326856.0,106171800.0,117964340.0
301010072,156,2028,1,112325000.0,103894540.0,117853016.0
301010072,157,2028,2,113478810.0,105413350.0,118676440.0
301010072,158,2028,3,114447280.0,106747740.0,119101410.0
301010072,159,2028,4,115164024.0,107786160.0,119277830.0
301010072,160,2028,5,115666870.0,108537864.0,119313620.0
301010072,161,2028,6,116035784.0,109097410.0,119320850.0
301010072,162,2028,7,116333784.0,109549280.0,119341020.0
301010072,163,2028,8,116582790.0,109948170.0,119395260.0
301010072,164,2028,9,116788100.0,110298410.0,119466250.0
301010072,165,2028,10,116932580.0,110563620.0,119509340.0
301010072,166,2028,11,117016460.0,110735180.0,119502210.0
301010072,167,2028,12,117062800.0,110845740.0,119458344.0
301010072,168,2029,1,114731050.0,107902440.0,118941720.0
301010072,169,2029,2,115668760.0,109179880.0,119596550.0
301010072,170,2029,3,116432950.0,110278580.0,119896390.0
301010072,171,2029,4,116971950.0,111099976.0,119990260.0
301010072,172,2029,5,117344210.0,111685970.0,119987090.0
301010072,173,2029,6,117612060.0,112110080.0,119966230.0
301010072,174,2029,7,117826030.0,112456350.0,119959510.0
301010072,175,2029,8,118006700.0,112754830.0,119988830.0
301010072,176,2029,9,118167580.0,113028330.0,120043170.0
301010072,177,2029,10,118274110.0,113231080.0,120075870.0
301010072,178,2029,11,118337660.0,113364060.0,120065730.0
301010072,179,2029,12,118369064.0,113448104.0,120030184.0
301010072,180,2030,1,115918824.0,109924130.0,119445860.0
301010072,181,2030,2,116751780.0,111099140.0,120003830.0
301010072,182,2030,3,117419060.0,112090010.0,120232360.0
301010072,183,2030,4,117872616.0,112810360.0,120272670.0
301010072,184,2030,5,118175650.0,113310664.0,120238910.0
301010072,185,2030,6,118392330.0,113667780.0,120196270.0
301010072,186,2030,7,118562980.0,113951336.0,120176536.0
301010072,187,2030,8,118712500.0,114207630.0,120186930.0
301010072,188,2030,9,118841740.0,114435704.0,120226430.0
301010072,189,2030,10,118930780.0,114607900.0,120251220.0
301010072,190,2030,11,118982960.0,114720344.0,120240100.0
301010072,191,2030,12,119009320.0,114786420.0,120210750.0
301010072,192,2031,1,117229230.0,113990840.0,119088140.0
301010072,193,2031,2,117678440.0,114638110.0,119391200.0
301010072,194,2031,3,118028130.0,115173880.0,119500936.0
301010072,195,2031,4,118262200.0,115558670.0,119512690.0
301010072,196,2031,5,118414960.0,115820100.0,119485260.0
301010072,197,2031,6,118523864.0,116006320.0,119457370.0
301010072,198,2031,7,118610290.0,116155430.0,119444440.0
301010072,199,2031,8,118687480.0,116285150.0,119452700.0
301010072,200,2031,9,118754296.0,116405304.0,119473210.0
301010072,201,2031,10,118801720.0,116494590.0,119488370.0
301010072,202,2031,11,118828720.0,116550904.0,119485784.0
301010072,203,2031,12,118843976.0,116590570.0,119470500.0
301010072,204,2032,1,118543030.0,115986780.0,119926616.0
301010072,205,2032,2,118902980.0,116518480.0,120164300.0
301010072,206,2032,3,119176776.0,116949700.0,120242420.0
301010072,207,2032,4,119349410.0,117244990.0,120240640.0
301010072,208,2032,5,119462000.0,117445570.0,120212370.0
301010072,209,2032,6,119544480.0,117587970.0,120187830.0
301010072,210,2032,7,119606390.0,117696550.0,120173870.0
301010072,211,2032,8,119664710.0,117799230.0,120176904.0
301010072,212,2032,9,119715784.0,117890550.0,120194680.0
301010072,213,2032,10,119751600.0,117959330.0,120205680.0
301010072,214,2032,11,119773510.0,118004850.0,120204696.0
301010072,215,2032,12,119782440.0,118031250.0,120192760.0
301010072,216,2033,1,118933440.0,117536190.0,119639740.0
301010072,217,2033,2,119130696.0,117836140.0,119767590.0
301010072,218,2033,3,119276470.0,118073336.0,119804860.0
301010072,219,2033,4,119367090.0,118232616.0,119799900.0
301010072,220,2033,5,119424600.0,118337510.0,119781720.0
301010072,221,2033,6,119464720.0,118412270.0,119763900.0
301010072,222,2033,7,119497704.0,118470744.0,119755400.0
301010072,223,2033,8,119527540.0,118523730.0,119756590.0
301010072,224,2033,9,119554450.0,118571770.0,119766750.0
